iter	Passed	Remaining
874	1493	213
875	1494	211
876	1495	209
877	1496	207
878	1497	206
879	1498	204
880	1499	202
881	1500	200
882	1501	198
883	1502	197
884	1503	195
885	1505	193
886	1506	191
887	1507	190
888	1507	188
889	1508	186
890	1509	184
891	1510	182
892	1511	181
893	1512	179
894	1512	177
895	1513	175
896	1514	173
897	1515	172
898	1516	170
899	1517	168
900	1518	166
901	1519	165
902	1520	163
903	1520	161
904	1521	159
905	1522	157
906	1523	156
907	1524	154
908	1525	152
909	1526	150
910	1527	149
911	1528	147
912	1528	145
913	1529	143
914	1530	142
915	1531	140
916	1532	138
917	1533	137
918	1534	135
919	1535	133
920	1536	131
921	1537	130
922	1537	128
923	1538	126
924	1539	124
925	1540	123
926	1541	121
927	1542	119
928	1543	117
929	1544	116
930	1545	114
931	1546	112
932	1547	111
933	1547	109
934	1548	107
935	1549	105
936	1550	104
937	1551	102
938	1552	100
939	1553	99
940	1554	97
941	1554	95
942	1555	94
943	1556	92
944	1557	90
945	1558	88
946	1559	87
947	1560	85
948	1561	83
949	1562	82
950	1563	80
951	1564	78
952	1565	77
953	1566	75
954	1567	73
955	1568	72
956	1568	70
957	1569	68
958	1570	67
959	1571	65
960	1572	63
961	1574	62
962	1575	60
963	1576	58
964	1577	57
965	1578	55
966	1579	53
967	1580	52
968	1581	50
969	1582	48
970	1582	47
971	1583	45
972	1584	43
973	1585	42
974	1586	40
975	1587	39
976	1588	37
977	1593	35
978	1633	35
979	1651	33
980	1658	32
981	1659	30
982	1660	28
983	1661	27
984	1662	25
985	1663	23
986	1663	21
987	1664	20
988	1665	18
989	1666	16
990	1667	15
991	1668	13
992	1669	11
993	1670	10
994	1672	8
995	1673	6
996	1674	5
997	1675	3
998	1676	1
999	1677	0
